Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, scripts/hugejoin/queries/210.sql, Unnesting, 1000, 4.56446, 98.8044
Indexed Algebra, scripts/hugejoin/queries/210.sql, Predicate Pushdown, 1000, 31.3509, 525.893
Indexed Algebra, scripts/hugejoin/queries/210.sql, Side-way Information Passing, 1000, 0.00157538, 0.025642
Indexed Algebra, scripts/hugejoin/queries/210.sql, Cardinality Estimation, 1000, 6.85739, 118.152
Indexed Algebra, scripts/hugejoin/queries/210.sql, Join Ordering, 1000, 117.685, 4559.39
Indexed Algebra, scripts/hugejoin/queries/210.sql, Common Subtree Elimination, 1000, 0.00643045, 0.037639
Indexed Algebra, scripts/hugejoin/queries/210.sql, Physical Planning, 1000, 25.8594, 561.659
Indexed Algebra, scripts/hugejoin/queries/210.sql, Total, 1000, 145.024, 5958.67
Indexed Algebra, scripts/hugejoin/queries/220.sql, Simplify Expressions, 1000, 5.869, 45.8596
Indexed Algebra, scripts/hugejoin/queries/220.sql, Unnesting, 1000, 5.18771, 103.643
Indexed Algebra, scripts/hugejoin/queries/220.sql, Predicate Pushdown, 1000, 35.2226, 555.172
Indexed Algebra, scripts/hugejoin/queries/220.sql, Side-way Information Passing, 1000, 0.00190252, 0.026196
Indexed Algebra, scripts/hugejoin/queries/220.sql, Cardinality Estimation, 1000, 6.81439, 123.966
Indexed Algebra, scripts/hugejoin/queries/220.sql, Join Ordering, 1000, 232.643, 5060.22
Indexed Algebra, scripts/hugejoin/queries/220.sql, Common Subtree Elimination, 1000, 0.00729414, 0.038926
Indexed Algebra, scripts/hugejoin/queries/220.sql, Physical Planning, 1000, 21.7042, 585.696
Indexed Algebra, scripts/hugejoin/queries/220.sql, Total, 1000, 288.422, 6520.42
Indexed Algebra, scripts/hugejoin/queries/230.sql, Simplify Expressions, 1000, 1.84529, 47.9429
Indexed Algebra, scripts/hugejoin/queries/230.sql, Unnesting, 1000, 2.19265, 107.606
Indexed Algebra, scripts/hugejoin/queries/230.sql, Predicate Pushdown, 1000, 10.6007, 569.585
Indexed Algebra, scripts/hugejoin/queries/230.sql, Side-way Information Passing, 1000, 0.00182544, 0.026863
Indexed Algebra, scripts/hugejoin/queries/230.sql, Cardinality Estimation, 1000, 5.96913, 129.567
Indexed Algebra, scripts/hugejoin/queries/230.sql, Join Ordering, 1000, 120.429, 5463.17
Indexed Algebra, scripts/hugejoin/queries/230.sql, Common Subtree Elimination, 1000, 0.00706024, 0.036003
Indexed Algebra, scripts/hugejoin/queries/230.sql, Physical Planning, 1000, 17.3712, 578.451
Indexed Algebra, scripts/hugejoin/queries/230.sql, Total, 1000, 131.119, 6935.84
Indexed Algebra, scripts/hugejoin/queries/240.sql, Simplify Expressions, 1000, 8.78132, 51.107
Indexed Algebra, scripts/hugejoin/queries/240.sql, Unnesting, 1000, 9.84205, 113.866
Indexed Algebra, scripts/hugejoin/queries/240.sql, Predicate Pushdown, 1000, 62.8639, 605.358
Indexed Algebra, scripts/hugejoin/queries/240.sql, Side-way Information Passing, 1000, 0.0020204, 0.0275
Indexed Algebra, scripts/hugejoin/queries/240.sql, Cardinality Estimation, 1000, 16.1482, 138.754
Indexed Algebra, scripts/hugejoin/queries/240.sql, Join Ordering, 1000, 449.288, 6043.73
Indexed Algebra, scripts/hugejoin/queries/240.sql, Common Subtree Elimination, 1000, 0.0118579, 0.039595
Indexed Algebra, scripts/hugejoin/queries/240.sql, Physical Planning, 1000, 49.5373, 551.006
Indexed Algebra, scripts/hugejoin/queries/240.sql, Total, 1000, 566.106, 7542.3
Indexed Algebra, scripts/hugejoin/queries/250.sql, Simplify Expressions, 1000, 1.30368, 52.7528
Indexed Algebra, scripts/hugejoin/queries/250.sql, Unnesting, 1000, 1.95015, 117.209
Indexed Algebra, scripts/hugejoin/queries/250.sql, Predicate Pushdown, 1000, 11.4302, 626.321
Indexed Algebra, scripts/hugejoin/queries/250.sql, Side-way Information Passing, 1000, 0.00178977, 0.026061
Indexed Algebra, scripts/hugejoin/queries/250.sql, Cardinality Estimation, 1000, 6.78239, 142.375
Indexed Algebra, scripts/hugejoin/queries/250.sql, Join Ordering, 1000, 129.886, 6505.68
Indexed Algebra, scripts/hugejoin/queries/250.sql, Common Subtree Elimination, 1000, 0.00811652, 0.038511
Indexed Algebra, scripts/hugejoin/queries/250.sql, Physical Planning, 1000, 16.7175, 646.744
Indexed Algebra, scripts/hugejoin/queries/250.sql, Total, 1000, 139.262, 8125.06
